SI,Date,Plant Day Gen (KWh),Inverter Day Gen (KWh),Diff (Plant-Inverter) Day Gen (KWh),Total Gen (KWh),Controlled PR (%),Uncontrolled PR (%)
974,31/08/2024,2344,2380,-36,3503341.69,0,0
975,01/09/2024,672.75,689,-16.25,3504014.44,0,0
976,02/09/2024,3082.75,3141,-58.25,3507097.19,0,0
977,03/09/2024,2893.75,2944,-50.25,3509990.94,0,0
978,04/09/2024,3231.75,3288,-56.25,3513222.69,0,0
979,05/09/2024,3071.25,3127,-55.75,3516293.94,0,0
980,06/09/2024,2552,2596,-44,3518845.94,0,0
981,07/09/2024,2433.25,2477,-43.75,3521279.19,0,0
982,08/09/2024,2780.75,2826,-45.25,3524059.94,0,0
983,09/09/2024,2472.75,2517,-44.25,3526532.69,0,0
984,10/09/2024,3228.25,3084,144.25,3529760.94,0,0
985,11/09/2024,3504,3303,201,3533264.94,0,0
986,12/09/2024,2874,2924,-50,3536138.94,0,0
987,13/09/2024,3412.25,3476,-63.75,3539551.19,0,0
988,14/09/2024,3286.25,3349,-62.75,3542837.44,0,0
989,15/09/2024,3337.5,3398,-60.5,3546174.94,0,0
990,16/09/2024,3649.5,3720,-70.5,3549824.44,0,0
991,17/09/2024,3172.75,3231,-58.25,3552997.19,0,0
992,18/09/2024,3939,4017,-78,3556936.19,0,0
993,19/09/2024,3610.5,3682,-71.5,3560546.69,0,0
994,20/09/2024,3528.5,3595,-66.5,3564075.19,0,0
995,21/09/2024,3150.25,3211,-60.75,3567225.44,0,0
996,22/09/2024,3170,3227,-57,3570395.44,0,0
997,23/09/2024,2882.5,2934,-51.5,3573277.94,0,0
998,24/09/2024,2135,2174,-39,3575412.94,0,0
999,25/09/2024,3007.75,3062,-54.25,3578420.69,0,0
1000,26/09/2024,2095,2132,-37,3580515.69,0,0
1001,27/09/2024,2848,2899,-51,3583363.69,0,0
1002,28/09/2024,2559.25,2607,-47.75,3585922.94,0,0
1003,29/09/2024,3281.25,3342,-60.75,3589204.19,0,0
1004,30/09/2024,2997.75,3059,-61.25,3592201.94,0,0
1005,01/10/2024,3134,3197,-63,3595335.94,0,0
1006,02/10/2024,3463.25,3534,-70.75,3598799.19,0,0
1007,03/10/2024,3477.25,3539,-61.75,3602276.44,0,0
1008,04/10/2024,2649.75,2701,-51.25,3604926.19,0,0
1009,05/10/2024,2191.75,2235,-43.25,3607117.94,0,0
1010,06/10/2024,2669,2715,-46,3609786.94,0,0
1011,07/10/2024,2582.5,2631,-48.5,3612369.44,0,0
1012,08/10/2024,2603,2651,-48,3614972.44,0,0
1013,09/10/2024,2739.5,2790,-50.5,3617711.94,0,0
1014,10/10/2024,2732.75,2784,-51.25,3620444.69,0,0
1015,11/10/2024,2407,2445,-38,3622851.69,0,0
1016,12/10/2024,2105,2142,-37,3624956.69,0,0
1017,13/10/2024,1857.25,1890,-32.75,3626813.94,0,0
1018,14/10/2024,1487,1514,-27,3628300.94,0,0
Grand Total,,2811628.76,2781118.31,0,0,0,0
